Study ID,Authors,Author Full Names,Article Title,Source Title,Abstract,Researcher Ids,ORCIDs,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id,Sequence Type,16S Amplicon?,Community/Isolate,LAB,DNA extraction ,DNA extraction volume/mass,Accession numberr?,Method (other),Longitudinal (Duration)? ,Longitudinal?,Longitudinal (space)? ,Spatial,Longitudinal and Spatial (Both),Temperature (0C),pH,NaCl (%),Country,Geographic coordinates,Cheese Type,Duration of ripening (Days),Ripening/ripened?,Commercial/Industrial?,Starter Culture,Starter Culture Type,Starter Sequenced
43,"Holle, MJ; Ibarra-Sanchez, LA; Liu, XJ; Stasiewicz, MJ; Miller, MJ","Holle, Maxwell J.; Ibarra-Sanchez, Luis A.; Liu, Xiaoji; Stasiewicz, Matthew J.; Miller, Michael J.",Microbial analysis of commercially available US Queso Fresco,JOURNAL OF DAIRY SCIENCE,"Queso Fresco (QF), a fresh Hispanic-style cheese, is often associated with Listeria monocytogenes outbreaks and recalls. Queso Fresco's susceptibility to bacterial contamination is partially due to its high pH and moisture content as well as Listeria's tolerance for the salt content typical for QF. Nine different brands of US QF, 2 packages from 4 different lots (to account for temporal variability), were sampled. The pH, salt content, arid moisture content were analyzed in addition to microbial testing including yeasts and molds, coliforms, lactic acid bacteria enumeration, and L. monocytogenes counts. The cheeses were also inoculated with a cocktail of 5 food and human isolates of food-borne outbreak-associated Listeria monocytogenes strains to evaluate how the differences between brands influenced Listeria growth. Three of the cheeses underwent additional genus-level microbial analysis using extracted 16S rDNA, allowing for phylogenetic analysis between bacterial taxa including diversity and relative abundance. We found little variation between the sampled QF pH (range = 6.62-6.82) salt content (1.53-2.01%), and moisture content (43.90-54.50%). Yeasts and molds were below the detection limit of enumeration in all of the cheeses and coliforms were below the detection limit across the first 3 lots, but were detected at varying levels in the fourth lot (>3.0 most probable number/g) for 3 of the brands. Listeria monocytogenes was not isolated after enrichment in any of the samples. All cheeses tested positive for the presence of lactic acid bacteria, with only 1 of the cheeses being labeled as produced with added cultures having substantial counts. Fourteen days after inoculation with L. monocytogenes, at least 2.5 log10 cfu/g of growth was found for all QF brands stored at 4 degrees C. Microbial genus analysis showed that, among the 3 brands, the microbial community was more similar within brand than when compared with the other 2 brands. Thermus, Anoxybacillus, and Streptococcus accounted for the dominant genera of brands A, B, and C, respectively. These variations within the microbial community may account for sensory differences arid help manufacturers determine quality control consistency more readily than culture-based methods.","Sanchez, Luis Alberto Ibarra/AAE-7472-2019; Stasiewicz, Matthew/A-9083-2012","Sanchez, Luis Alberto Ibarra/0000-0001-7023-218X; Stasiewicz, Matthew/0000-0003-2712-0793; Holle, Maxwell/0000-0003-0328-2982; Miller, Michael/0000-0001-8579-1080; Liu, Xiaoji/0000-0002-6005-0769",0022-0302,1525-3198,SEP,2018,101,9,10.3168/jds.2017-14037,30007813,16S RNA sequencing,No,Isolate,No,Whole mass,0.2,NA,Selective plating and enumeration of Listeria,7-mo period.,Yes,Whole mass,No,No,NA,6.74,1.81,USA,NA,Queso Fresco (QF) cheese,NA,Ripened,Commercial,Yes,Yes,NA
43,"Holle, MJ; Ibarra-Sanchez, LA; Liu, XJ; Stasiewicz, MJ; Miller, MJ","Holle, Maxwell J.; Ibarra-Sanchez, Luis A.; Liu, Xiaoji; Stasiewicz, Matthew J.; Miller, Michael J.",Microbial analysis of commercially available US Queso Fresco,JOURNAL OF DAIRY SCIENCE,"Queso Fresco (QF), a fresh Hispanic-style cheese, is often associated with Listeria monocytogenes outbreaks and recalls. Queso Fresco's susceptibility to bacterial contamination is partially due to its high pH and moisture content as well as Listeria's tolerance for the salt content typical for QF. Nine different brands of US QF, 2 packages from 4 different lots (to account for temporal variability), were sampled. The pH, salt content, arid moisture content were analyzed in addition to microbial testing including yeasts and molds, coliforms, lactic acid bacteria enumeration, and L. monocytogenes counts. The cheeses were also inoculated with a cocktail of 5 food and human isolates of food-borne outbreak-associated Listeria monocytogenes strains to evaluate how the differences between brands influenced Listeria growth. Three of the cheeses underwent additional genus-level microbial analysis using extracted 16S rDNA, allowing for phylogenetic analysis between bacterial taxa including diversity and relative abundance. We found little variation between the sampled QF pH (range = 6.62-6.82) salt content (1.53-2.01%), and moisture content (43.90-54.50%). Yeasts and molds were below the detection limit of enumeration in all of the cheeses and coliforms were below the detection limit across the first 3 lots, but were detected at varying levels in the fourth lot (>3.0 most probable number/g) for 3 of the brands. Listeria monocytogenes was not isolated after enrichment in any of the samples. All cheeses tested positive for the presence of lactic acid bacteria, with only 1 of the cheeses being labeled as produced with added cultures having substantial counts. Fourteen days after inoculation with L. monocytogenes, at least 2.5 log10 cfu/g of growth was found for all QF brands stored at 4 degrees C. Microbial genus analysis showed that, among the 3 brands, the microbial community was more similar within brand than when compared with the other 2 brands. Thermus, Anoxybacillus, and Streptococcus accounted for the dominant genera of brands A, B, and C, respectively. These variations within the microbial community may account for sensory differences arid help manufacturers determine quality control consistency more readily than culture-based methods.","Sanchez, Luis Alberto Ibarra/AAE-7472-2019; Stasiewicz, Matthew/A-9083-2012","Sanchez, Luis Alberto Ibarra/0000-0001-7023-218X; Stasiewicz, Matthew/0000-0003-2712-0793; Holle, Maxwell/0000-0003-0328-2982; Miller, Michael/0000-0001-8579-1080; Liu, Xiaoji/0000-0002-6005-0769",0022-0302,1525-3198,SEP,2018,101,9,10.3168/jds.2017-14037,30007813,16S RNA sequencing,No,Isolate,No,Whole mass,0.2,NA,Selective plating and enumeration of Listeria,7-mo period.,Yes,Whole mass,No,No,NA,6.74,2.01,USA,NA,Queso Fresco (QF) cheese,NA,Ripened,Commercial,Yes,Yes,NA
43,"Holle, MJ; Ibarra-Sanchez, LA; Liu, XJ; Stasiewicz, MJ; Miller, MJ","Holle, Maxwell J.; Ibarra-Sanchez, Luis A.; Liu, Xiaoji; Stasiewicz, Matthew J.; Miller, Michael J.",Microbial analysis of commercially available US Queso Fresco,JOURNAL OF DAIRY SCIENCE,"Queso Fresco (QF), a fresh Hispanic-style cheese, is often associated with Listeria monocytogenes outbreaks and recalls. Queso Fresco's susceptibility to bacterial contamination is partially due to its high pH and moisture content as well as Listeria's tolerance for the salt content typical for QF. Nine different brands of US QF, 2 packages from 4 different lots (to account for temporal variability), were sampled. The pH, salt content, arid moisture content were analyzed in addition to microbial testing including yeasts and molds, coliforms, lactic acid bacteria enumeration, and L. monocytogenes counts. The cheeses were also inoculated with a cocktail of 5 food and human isolates of food-borne outbreak-associated Listeria monocytogenes strains to evaluate how the differences between brands influenced Listeria growth. Three of the cheeses underwent additional genus-level microbial analysis using extracted 16S rDNA, allowing for phylogenetic analysis between bacterial taxa including diversity and relative abundance. We found little variation between the sampled QF pH (range = 6.62-6.82) salt content (1.53-2.01%), and moisture content (43.90-54.50%). Yeasts and molds were below the detection limit of enumeration in all of the cheeses and coliforms were below the detection limit across the first 3 lots, but were detected at varying levels in the fourth lot (>3.0 most probable number/g) for 3 of the brands. Listeria monocytogenes was not isolated after enrichment in any of the samples. All cheeses tested positive for the presence of lactic acid bacteria, with only 1 of the cheeses being labeled as produced with added cultures having substantial counts. Fourteen days after inoculation with L. monocytogenes, at least 2.5 log10 cfu/g of growth was found for all QF brands stored at 4 degrees C. Microbial genus analysis showed that, among the 3 brands, the microbial community was more similar within brand than when compared with the other 2 brands. Thermus, Anoxybacillus, and Streptococcus accounted for the dominant genera of brands A, B, and C, respectively. These variations within the microbial community may account for sensory differences arid help manufacturers determine quality control consistency more readily than culture-based methods.","Sanchez, Luis Alberto Ibarra/AAE-7472-2019; Stasiewicz, Matthew/A-9083-2012","Sanchez, Luis Alberto Ibarra/0000-0001-7023-218X; Stasiewicz, Matthew/0000-0003-2712-0793; Holle, Maxwell/0000-0003-0328-2982; Miller, Michael/0000-0001-8579-1080; Liu, Xiaoji/0000-0002-6005-0769",0022-0302,1525-3198,SEP,2018,101,9,10.3168/jds.2017-14037,30007813,16S RNA sequencing,No,Isolate,No,Whole mass,0.2,NA,Selective plating and enumeration of Listeria,7-mo period.,Yes,Whole mass,No,No,NA,6.71,1.72,USA,NA,Queso Fresco (QF) cheese,NA,Ripened,Commercial,Yes,Yes,NA
43,"Holle, MJ; Ibarra-Sanchez, LA; Liu, XJ; Stasiewicz, MJ; Miller, MJ","Holle, Maxwell J.; Ibarra-Sanchez, Luis A.; Liu, Xiaoji; Stasiewicz, Matthew J.; Miller, Michael J.",Microbial analysis of commercially available US Queso Fresco,JOURNAL OF DAIRY SCIENCE,"Queso Fresco (QF), a fresh Hispanic-style cheese, is often associated with Listeria monocytogenes outbreaks and recalls. Queso Fresco's susceptibility to bacterial contamination is partially due to its high pH and moisture content as well as Listeria's tolerance for the salt content typical for QF. Nine different brands of US QF, 2 packages from 4 different lots (to account for temporal variability), were sampled. The pH, salt content, arid moisture content were analyzed in addition to microbial testing including yeasts and molds, coliforms, lactic acid bacteria enumeration, and L. monocytogenes counts. The cheeses were also inoculated with a cocktail of 5 food and human isolates of food-borne outbreak-associated Listeria monocytogenes strains to evaluate how the differences between brands influenced Listeria growth. Three of the cheeses underwent additional genus-level microbial analysis using extracted 16S rDNA, allowing for phylogenetic analysis between bacterial taxa including diversity and relative abundance. We found little variation between the sampled QF pH (range = 6.62-6.82) salt content (1.53-2.01%), and moisture content (43.90-54.50%). Yeasts and molds were below the detection limit of enumeration in all of the cheeses and coliforms were below the detection limit across the first 3 lots, but were detected at varying levels in the fourth lot (>3.0 most probable number/g) for 3 of the brands. Listeria monocytogenes was not isolated after enrichment in any of the samples. All cheeses tested positive for the presence of lactic acid bacteria, with only 1 of the cheeses being labeled as produced with added cultures having substantial counts. Fourteen days after inoculation with L. monocytogenes, at least 2.5 log10 cfu/g of growth was found for all QF brands stored at 4 degrees C. Microbial genus analysis showed that, among the 3 brands, the microbial community was more similar within brand than when compared with the other 2 brands. Thermus, Anoxybacillus, and Streptococcus accounted for the dominant genera of brands A, B, and C, respectively. These variations within the microbial community may account for sensory differences arid help manufacturers determine quality control consistency more readily than culture-based methods.","Sanchez, Luis Alberto Ibarra/AAE-7472-2019; Stasiewicz, Matthew/A-9083-2012","Sanchez, Luis Alberto Ibarra/0000-0001-7023-218X; Stasiewicz, Matthew/0000-0003-2712-0793; Holle, Maxwell/0000-0003-0328-2982; Miller, Michael/0000-0001-8579-1080; Liu, Xiaoji/0000-0002-6005-0769",0022-0302,1525-3198,SEP,2018,101,9,10.3168/jds.2017-14037,30007813,16S RNA sequencing,No,Isolate,No,Whole mass,0.2,NA,Selective plating and enumeration of Listeria,7-mo period.,Yes,Whole mass,No,No,NA,6.77,1.84,USA,NA,Queso Fresco (QF) cheese,NA,Ripened,Commercial,Yes,Yes,NA
43,"Holle, MJ; Ibarra-Sanchez, LA; Liu, XJ; Stasiewicz, MJ; Miller, MJ","Holle, Maxwell J.; Ibarra-Sanchez, Luis A.; Liu, Xiaoji; Stasiewicz, Matthew J.; Miller, Michael J.",Microbial analysis of commercially available US Queso Fresco,JOURNAL OF DAIRY SCIENCE,"Queso Fresco (QF), a fresh Hispanic-style cheese, is often associated with Listeria monocytogenes outbreaks and recalls. Queso Fresco's susceptibility to bacterial contamination is partially due to its high pH and moisture content as well as Listeria's tolerance for the salt content typical for QF. Nine different brands of US QF, 2 packages from 4 different lots (to account for temporal variability), were sampled. The pH, salt content, arid moisture content were analyzed in addition to microbial testing including yeasts and molds, coliforms, lactic acid bacteria enumeration, and L. monocytogenes counts. The cheeses were also inoculated with a cocktail of 5 food and human isolates of food-borne outbreak-associated Listeria monocytogenes strains to evaluate how the differences between brands influenced Listeria growth. Three of the cheeses underwent additional genus-level microbial analysis using extracted 16S rDNA, allowing for phylogenetic analysis between bacterial taxa including diversity and relative abundance. We found little variation between the sampled QF pH (range = 6.62-6.82) salt content (1.53-2.01%), and moisture content (43.90-54.50%). Yeasts and molds were below the detection limit of enumeration in all of the cheeses and coliforms were below the detection limit across the first 3 lots, but were detected at varying levels in the fourth lot (>3.0 most probable number/g) for 3 of the brands. Listeria monocytogenes was not isolated after enrichment in any of the samples. All cheeses tested positive for the presence of lactic acid bacteria, with only 1 of the cheeses being labeled as produced with added cultures having substantial counts. Fourteen days after inoculation with L. monocytogenes, at least 2.5 log10 cfu/g of growth was found for all QF brands stored at 4 degrees C. Microbial genus analysis showed that, among the 3 brands, the microbial community was more similar within brand than when compared with the other 2 brands. Thermus, Anoxybacillus, and Streptococcus accounted for the dominant genera of brands A, B, and C, respectively. These variations within the microbial community may account for sensory differences arid help manufacturers determine quality control consistency more readily than culture-based methods.","Sanchez, Luis Alberto Ibarra/AAE-7472-2019; Stasiewicz, Matthew/A-9083-2012","Sanchez, Luis Alberto Ibarra/0000-0001-7023-218X; Stasiewicz, Matthew/0000-0003-2712-0793; Holle, Maxwell/0000-0003-0328-2982; Miller, Michael/0000-0001-8579-1080; Liu, Xiaoji/0000-0002-6005-0769",0022-0302,1525-3198,SEP,2018,101,9,10.3168/jds.2017-14037,30007813,16S RNA sequencing,No,Isolate,No,Whole mass,0.2,NA,Selective plating and enumeration of Listeria,7-mo period.,Yes,Whole mass,No,No,NA,6.85,1.57,USA,NA,Queso Fresco (QF) cheese,NA,Ripened,Commercial,Yes,Yes,NA
43,"Holle, MJ; Ibarra-Sanchez, LA; Liu, XJ; Stasiewicz, MJ; Miller, MJ","Holle, Maxwell J.; Ibarra-Sanchez, Luis A.; Liu, Xiaoji; Stasiewicz, Matthew J.; Miller, Michael J.",Microbial analysis of commercially available US Queso Fresco,JOURNAL OF DAIRY SCIENCE,"Queso Fresco (QF), a fresh Hispanic-style cheese, is often associated with Listeria monocytogenes outbreaks and recalls. Queso Fresco's susceptibility to bacterial contamination is partially due to its high pH and moisture content as well as Listeria's tolerance for the salt content typical for QF. Nine different brands of US QF, 2 packages from 4 different lots (to account for temporal variability), were sampled. The pH, salt content, arid moisture content were analyzed in addition to microbial testing including yeasts and molds, coliforms, lactic acid bacteria enumeration, and L. monocytogenes counts. The cheeses were also inoculated with a cocktail of 5 food and human isolates of food-borne outbreak-associated Listeria monocytogenes strains to evaluate how the differences between brands influenced Listeria growth. Three of the cheeses underwent additional genus-level microbial analysis using extracted 16S rDNA, allowing for phylogenetic analysis between bacterial taxa including diversity and relative abundance. We found little variation between the sampled QF pH (range = 6.62-6.82) salt content (1.53-2.01%), and moisture content (43.90-54.50%). Yeasts and molds were below the detection limit of enumeration in all of the cheeses and coliforms were below the detection limit across the first 3 lots, but were detected at varying levels in the fourth lot (>3.0 most probable number/g) for 3 of the brands. Listeria monocytogenes was not isolated after enrichment in any of the samples. All cheeses tested positive for the presence of lactic acid bacteria, with only 1 of the cheeses being labeled as produced with added cultures having substantial counts. Fourteen days after inoculation with L. monocytogenes, at least 2.5 log10 cfu/g of growth was found for all QF brands stored at 4 degrees C. Microbial genus analysis showed that, among the 3 brands, the microbial community was more similar within brand than when compared with the other 2 brands. Thermus, Anoxybacillus, and Streptococcus accounted for the dominant genera of brands A, B, and C, respectively. These variations within the microbial community may account for sensory differences arid help manufacturers determine quality control consistency more readily than culture-based methods.","Sanchez, Luis Alberto Ibarra/AAE-7472-2019; Stasiewicz, Matthew/A-9083-2012","Sanchez, Luis Alberto Ibarra/0000-0001-7023-218X; Stasiewicz, Matthew/0000-0003-2712-0793; Holle, Maxwell/0000-0003-0328-2982; Miller, Michael/0000-0001-8579-1080; Liu, Xiaoji/0000-0002-6005-0769",0022-0302,1525-3198,SEP,2018,101,9,10.3168/jds.2017-14037,30007813,16S RNA sequencing,No,Isolate,No,Whole mass,0.2,NA,Selective plating and enumeration of Listeria,7-mo period.,Yes,Whole mass,No,No,NA,6.86,1.83,USA,NA,Queso Fresco (QF) cheese,NA,Ripened,Commercial,Yes,Yes,NA
44,"Jin, H; Mo, LX; Pan, L; Hou, QC; Li, CJ; Darima, I; Yu, J","Jin, Hao; Mo, Lanxin; Pan, Lin; Hou, Qaingchaun; Li, Chuanjuan; Darima, Iaptueva; Yu, Jie",Using PacBio sequencing to investigate the bacterial microbiota of traditional Buryatian cottage cheese and comparison with Italian and Kazakhstan artisanal cheeses,JOURNAL OF DAIRY SCIENCE,"Traditional fermented dairy foods including cottage cheese have been major components of the Buryatia diet for centuries. Buryatian cheeses have maintained not only their unique taste and flavor but also their rich natural lactic acid bacteria (LAB) content. However, relatively few studies have described their microbial communities or explored their potential to serve as LAB resources. In this study, the bacterial microbiota community of 7 traditional artisan cheeses produced by local Buryatian families was investigated using single-molecule, real-time sequencing. In addition, we compared the bacterial microbiota of the Buryatian cheese samples with data sets of cheeses from Kazakhstan and Italy. Furthermore, we isolated and preserved several LAB samples from Buryatian cheese. A total of 62 LAB strains (belonging to 6 genera and 14 species or subspecies) were isolated from 7 samples of Buryatian cheese. Full-length 16S rRNA sequencing of the microbiota revealed 145 species of 82 bacterial genera, belonging to 7 phyla. The most dominant species was Lactococcus lactis (43.89%). Data sets of cheeses from Italy and Kazakhstan were retrieved from public databases. Principal component analysis and multivariate ANOVA showed marked differences in the structure of the microbiota communities in the cheese data sets from the 3 regions. Linear discriminant analyses of the effect size identified 48 discriminant bacterial clades among the 3 groups, which might have contributed to the observed structural differences. Our results indicate that the bacterial communities of traditional artisan cheeses vary depending on geographic origin. In addition, we isolated novel and valuable LAB resources for the improvement of cottage cheese production.",,"Jin, Hao/0000-0003-2965-0739; Pan, Lin/0000-0001-7793-3982",0022-0302,1525-3198,AUG,2018,101,8,10.3168/jds.2018-14403,29753477,16S rRNA and PacBio SMRT Sequencing,No,Whole,No,Whole mass,2,PacBio SMRT (mgp83644) and NCBI (MF784166 to MF784228),Selective plating and enumeration of LAB,NA,No,Whole mass,No,No,NA,NA,NA,Russia,NA,Cottage cheese,NA,Ripened,Industrial,NA,NA,NA
45,"Lamichhane, P; Pietrzyk, A; Feehily, C; Cotter, PD; Mannion, DT; Kilcawley, KN; Kelly, AL; Sheehan, JJ","Lamichhane, Prabin; Pietrzyk, Anna; Feehily, Conor; Cotter, Paul D.; Mannion, David T.; Kilcawley, Kieran N.; Kelly, Alan L.; Sheehan, Jeremiah J.",Effect of milk centrifugation and incorporation of high heat-treated centrifugate on the microbial composition and levels of volatile organic compounds of Maasdam cheese,JOURNAL OF DAIRY SCIENCE,"Centrifugation is a common milk pretreatment method for removal of Clostridium spores which, on germination, can produce high levels of butyric acid and gas, resulting in rancid, gassy cheese. The aim of this study was to determine the effect of centrifugation of milk, as well as incorporation of high heat-treated centrifugate into cheese milk, on the microbial and volatile profile of Maasdam cheese. To facilitate this, 16S rRNA amplicon sequencing in combination with a selective media-based approach were used to study the microbial composition of cheese during maturation, and volatile organic compounds within the cheese matrix were analyzed by HPLC and solid-phase microextraction coupled with gas chromatography-mass spectrometry. Both culture-based and molecular approaches revealed major differences in microbial populations within the cheese matrix before arid after warm room ripening. During warm room ripening, an increase in counts of propionic acid bacteria (by similar to 10(1.5) cfu) and nonstarter lactic acid bacteria (by similar to 10(8) cfu) and a decrease in the counts of Lactobacillus helveticus (by similar to 10(2.8) cfu) were observed. Lactococcus species dominated the curd population throughout ripening, followed by Lactobacillus, Propionibacteriurn, and Leuconostoc, and the relative abundance of these accounted for more than 99% of the total genera, as revealed by high-throughput sequencing. Among subdominant microflora, the overall relative abundance of Clostridium sensu stricto was lower in cheeses made from centrifuged milk than control cheeses, which coincided with lower levels of butyric acid. Centrifugation as well as incorporation of high heat-treated centrifugate into cheese milk seemed to have little effect on the volatile profile of Maasdam cheese, except for butyric acid levels. Overall, this study suggests that centrifugation of milk before cheesemaking is a suitable method for controlling undesirable butyric acid fermentation without significantly altering the levels of other volatile organic compounds of Maasdam cheese.","Lamichhane, Prabin/D-1958-2015; Kilcawley, Kieran/P-2093-2019","Kelly, Alan/0000-0003-2759-1587; Kilcawley, Kieran/0000-0003-4048-8883; Cotter, Paul/0000-0002-5465-9068; Lamichhane, Prabin/0000-0003-4658-4892",0022-0302,1525-3198,JUL,2018,101,7,10.3168/jds.2017-14180,29550125,16S RNA amplicon sequencing and volatile organic compounds determination,Yes,Whole,No,Whole mass,5,NA,Enumeration of Starter and Nonstarter Lactic Acid Bacteria and PAB,"1, 11, 41, 65, 97, and 180 d of ripening",No,Whole mass,No,No,NA,NA,NA,Ireland,NA,Maasdam cheese,180,Ripening,Industrial,Yes,Commercial,NA
46,"Martins, MCD; de Freitas, R; Deuvaux, JC; Eller, MR; Nero, LA; de Carvalho, AF","de Freitas Martins, Mayra Carla; de Freitas, Rosangela; Deuvaux, Julio Cesar; Eller, Monique Renon; Nero, Luis Augusto; de Carvalho, Antonio Fernandes",Bacterial diversity of artisanal cheese from the Amazonian region of Brazil during the dry and rainy seasons,FOOD RESEARCH INTERNATIONAL,"The microbiota from artisanal cheeses produced in the Amazonian region is evaluated. Samples of artisanal cheeses were obtained from markets in Conceicao do Araguaia and Redencao (Para, Brazil) over rainy and dry seasons, and their biodiversity was assessed by culture-dependent and culture-independent methods. Mean counts of lactic acid bacteria (LAB) in cheeses ranged from 7.32 to 8.84 log CFU/g, for both seasons. Members of genera Lactobacillus, Lactococcus, Weissella, Enterococcus, Pediococcus, and Leuconostoc were predominant. The amplification of the 16S rRNA V6-V9 region, followed by a temporal temperature-gradient gel electrophoresis (TTGE) and sequencing of the TTGE bands revealed important differences in the microbial composition variability between samples from the two seasons and among cheese samples analyzed. TTGE showed the presence of microorganisms that are frequently found in cheese, such as L. lactis subsp. lards, as well as other non-usual species, such as Macrococcus caseolyticus and Corynebacterium variabile. Moreover, TTGE analysis revealed the presence of microorganisms that have been isolated from other types of foods (Paralactobaciilus selangorenses) along with some not usually found in foods, such as Exiguobacterium acetylicum, plus the presence of pathogenic microorganisms (Granulicatella elegans and Aerococcus sanguinicola). The present molecular approaches combined with culture-dependent methods provided a more detailed description of the microbial ecology of traditional cheeses from the Amazonian region in northern Brazil.","DELVAUX, JULIO CESAR/AAH-6576-2019; de Carvalho, Antonio F/E-8594-2013; Nero, Luis Augusto/G-7754-2014","de Carvalho, Antonio F/0000-0002-3238-936X; Nero, Luis Augusto/0000-0002-4954-5824",0963-9969,1873-7145,JUN,2018,108,,10.1016/j.foodres.2018.03.060,29735061,16S RNA sequenicng and Sequencing of TTGE fragments,No,Isolate,No,Whole mass,10,"NR024885.1, NR074941.1, N103918.1, NR0286682.1, NR028682.1, NR113585.1, R113585.1, NR113585.1, NR102874.1, NR025396.1 and NR075042.1",Selective plating and enumeration of LAB,"
September and October 2012 (dry season) and ten cheeses in March and April 2013 (rainy season).",Yes,Whole mass,No,No,NA,NA,NA,Brazil,NA,Artisanal cheese,NA,Ripened,Commercial,NA,NA,NA
47,"Yunita, D; Dodd, CER","Yunita, Dewi; Dodd, Christine E. R.",Microbial community dynamics of a blue-veined raw milk cheese from the United Kingdom,JOURNAL OF DAIRY SCIENCE,"A commercial blue-veined cheese made from unpasteurized milk was examined by conventional culturing and PCR denaturing gradient gel electrophoresis analysis of the bacterial community 16S rRNA genes using 3 primer sets, V3, V4V5, and V6V8. Genomic DNA for amplification was extracted directly from raw milk, starter culture, cheese at different stages of production, fully ripened cheese, and from the cultured cells grown on various media. The outer rind was sampled separately from the inner white core and blue veins. A diverse microbiota containing Lactococcus lactis ssp. lactis, Lactobacillus plantarum, Lactobacillus curvatus, Staphylococcus gallinarum, Staphylococcus devriesei, Microbacterium sp., Sphingobacterium sp., Mycetocola sp., Brevundimonas sp., Enterococcus faecalis, Proteus sp., and Kocuria sp. was detected in the raw milk using culturing methods, but only Lactococcus lactis ssp. lactis, Lactobacillus plantarum, and Enterococcus faecalis survived to the final cheese and were detected both in the core and the rind. Using PCR denaturing gradient gel electrophoresis analysis of the cheese process samples, Staphylococcus equorum and Enterococcus durans were found in the rind of prepiercing samples but not in the core and veins; after piercing, these species were found in all parts of the cheese but survived only in the rind when the cheese was fully ripened. Brevibacterium sp., Halomonas sp., Acinetobacter sp., Alkalibacterium sp., and Corynebacterium casei were identified only by PCR denaturing gradient gel electrophoresis and not cultured from the samples. Brevibacterium sp. was initially identified in the cheese postpiercing (core and veins), Halomonas sp. was found in the matured cheese (rind), and Acinetobacter sp., Alkalibacterium sp., and Corynebacterium casei were also found in the prepiercing samples (rind) and then found through the subsequent process stages. The work suggests that in this raw milk cheese, a limited community from the milk survive to the final cheese, with salt addition and handling contributing to the final cheese consortium.","Yunita, Dewi/ABC-5246-2020","Yunita, Dewi/0000-0002-1884-5357",0022-0302,1525-3198,JUN,2018,101,6,10.3168/jds.2017-14104,29550118,16S RNA sequencing,No,Whole,No,"Core, rinds, core+veins",0.2,NA,Selective plating and enumeration of microbes,"Different states of production: Milk, starter culture, premilling, postmilling and salting, prepiercing core and veins, prepiercing rind, postpiercing core and veins, postpiercing rind, matured cheese (core and veins) and matured cheese",Yes,"Core, Intermediate, Rind",Yes,Yes,NA,NA,NA,UK,NA,UK blue-veined raw milk cheese,189,Ripening,Industrial,Yes,Commercial,16S RNA sequencing
48,"Goncalves, MTP; Benito, MJ; Cordoba, MD; Egas, C; Merchan, AV; Galvan, AI; Ruiz-Moyano, S","Goncalves, Maria Teresa P.; Benito, Maria Jose; Cordoba, Maria de Guia; Egas, Conceicao; Merchan, Almudena V.; Galvan, Ana I.; Ruiz-Moyano, Santiago","Bacterial Communities in Serpa Cheese by Culture Dependent Techniques, 16S rRNA Gene Sequencing and High-throughput Sequencing Analysis",JOURNAL OF FOOD SCIENCE,"Serpa cheese is one of the traditional regional Portuguese cheeses having the Protected Denomination of Origin (PDO) designation. This study investigated the bacterial community in the traditional Portuguese Serpa cheese. The microorganisms identified at the end of ripening (30 days) mainly were lactic acid bacteria (LAB). Lactobacillus paracasei/Lactobacillus casei was the main species in cheese from PDO registered industries, whereas in non-PDO registered industries Lactobacillus brevis was highlighted, among other LAB. Enterobacteriaceae species were detected at 20% to 40% of the total isolates. The results obtained by high-throughput sequencing analysis confirmed that LAB was the main microbial group, with Lactococcus genus contributing to approximately 40% to 60% of the population, followed by Leuconostoc and Lactobacillus. The Enterobacteriaceae family was also important. The differences between bacterial communities from PDO and non-PDO registered industries suggest that the lack of regulation of the cheese-making practices may influence unfavorably. The new knowledge about bacterial diversity in Serpa cheese could be useful to set up new ripening conditions, which favor the development of desirable microorganisms.","Egas, Conceicao/K-4866-2014; Merchan, Almudena V./AAL-8383-2020; Santos, Maria/AAN-4315-2020; Romero, Ana Isabel Galvan/AAL-9313-2020","Egas, Conceicao/0000-0002-2307-5414; Merchan, Almudena V./0000-0003-4880-4764; Santos, Maria/0000-0001-7948-7357; Romero, Ana Isabel Galvan/0000-0002-0561-2909; Benito, Maria Jose/0000-0001-8432-8035; Ruiz-Moyano, Santiago/0000-0003-0309-5888; Cordoba, Maria de Guia/0000-0002-2110-068X",0022-1147,1750-3841,MAY,2018,83,5,10.1111/1750-3841.14141,29660816,16S RNA sequencing,No,Whole,No,Whole mass,5,"KT897918.1, KT946604.1, KU945826.1, KT763326.1, KP793171.1, KP742818.1, KU321632.1, CP014449.1, LC122277.1",Selective plating and enumeration of microbes and pathogens,"
Samples were collected by season, winter and spring",Yes,Whole mass,No,No,9,5.08,NA,Portugal,NA,Serpa cheese,30,Ripened,Industrial,Yes,Commercial,NA
